id,Category,Sub-Category,Material Section,material name,material variant name,GWP,units,locations,density
63,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Envirocrete 30% EPD,0.288,m3,Australia,
64,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Envirocrete 40% EPD,0.266,m3,Australia,
65,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Envirocrete Plus EPD,0.257,m3,Australia,
66,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral ENVISIA EPD,0.226,m3,Australia,
67,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Normal GP Blend EPD,0.342,m3,Australia,
68,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Normal GP/FA Blend EPD,0.288,m3,Australia,
69,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Normal GP/GGBFS Blend EPD,0.249,m3,Australia,
70,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Boral Normal GP/GGBFS/FA Blend EPD,0.235,m3,Australia,
71,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Wagner EPD Earth Friendly Concrete (GPC),0.1196,m3,Australia,
72,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 100% Geopolymer Replacement,0.12,m3,Australia,
73,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 100% Geopolymer Replacement,0.115,m3,Europe,
74,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 100% Geopolymer Replacement,0.115,m3,United Kingdom,
75,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 100% Geopolymer Replacement,0.119,m3,United States or  Canada,
76,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 50% GGBFS,0.288,m3,Australia,
77,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 50% GGBFS,0.256,m3,United Kingdom,
78,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 50% GGBFS,0.318,m3,United States or  Canada,
79,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Envirocrete 30% EPD,0.34,m3,Australia,
80,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Envirocrete 40% EPD,0.31,m3,Australia,
81,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Envirocrete Plus EPD,0.3,m3,Australia,
82,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral ENVISIA EPD,0.277,m3,Australia,
83,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Normal GP Blend EPD,0.385,m3,Australia,
84,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Normal GP/FA Blend EPD,0.361,m3,Australia,
85,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Normal GP/GGBFS Blend EPD,0.278,m3,Australia,
86,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Boral Normal GP/GGBFS/FA Blend EPD,0.274,m3,Australia,
87,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Generic OPC,0.555,m3,Australia,
88,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Generic OPC,0.427,m3,Europe,
89,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Generic OPC,0.471,m3,United Kingdom,
90,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Generic OPC,0.558,m3,United States or  Canada,
91,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim Flyash Blend EPD,0.356,m3,Australia,
92,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim General Blend EPD,0.433,m3,Australia,
93,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim Slag Blend EPD,0.271,m3,Australia,
94,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 0-20% Fly Ash,0.457,m3,Australia,
95,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 0-20% Fly Ash,0.355,m3,Europe,
96,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 0-20% Fly Ash,0.424,m3,United Kingdom,
97,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 50% Fly Ash,0.31,m3,Australia,
98,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 50% Fly Ash,0.248,m3,Europe,
99,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With 50% Fly Ash,0.272,m3,United Kingdom,
100,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 20% GGBFS,0.464,m3,Australia,
101,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 20% GGBFS,0.398,m3,United Kingdom,
102,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 20% GGBFS,0.478,m3,United States or  Canada,
103,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 50% GGBFS,0.328,m3,Australia,
104,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 50% GGBFS,0.288,m3,United Kingdom,
105,Basic Materials,Concrete,Concrete,40 Mpa Concrete,With up to 50% GGBFS,0.357,m3,United States or  Canada,
106,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim ECOPact EPD,0.239,m3,Australia,
107,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim ECOPact Zero EPD,0.028,m3,Australia,
108,Basic Materials,Concrete,Concrete,40 Mpa Concrete,Holcim Triple Blend EPD,0.247,m3,Australia,
109,Basic Materials,Concrete,Concrete,40 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.429,m3,United States or  Canada,
110,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Normal GP Blend EPD,0.482,m3,Australia,
111,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Normal GP/FA Blend EPD,0.449,m3,Australia,
112,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Generic OPC,0.643,m3,Australia,
113,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Generic OPC,0.5,m3,Europe,
114,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Generic OPC,0.551,m3,United Kingdom,
115,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Generic OPC,0.655,m3,United States or  Canada,
116,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 0-20% Fly Ash,0.531,m3,Australia,
117,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 0-20% Fly Ash,0.418,m3,Europe,
118,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 0-20% Fly Ash,0.46,m3,United Kingdom,
119,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 50% Fly Ash,0.363,m3,Australia,
120,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 50% Fly Ash,0.297,m3,Europe,
121,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With 50% Fly Ash,0.324,m3,United Kingdom,
122,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 20% GGBFS,0.539,m3,Australia,
123,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 20% GGBFS,0.468,m3,United Kingdom,
124,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 20% GGBFS,0.563,m3,United States or  Canada,
125,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 50% GGBFS,0.26,m3,Australia,
126,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 50% GGBFS,0.342,m3,United Kingdom,
127,Basic Materials,Concrete,Concrete,50 Mpa Concrete,With up to 50% GGBFS,0.426,m3,United States or  Canada,
128,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim ECOPact EPD,0.276,m3,Australia,
129,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim ECOPact Zero EPD,0.028,m3,Australia,
130,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim Triple Blend EPD,0.312,m3,Australia,
131,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Envirocrete 30% EPD,0.421,m3,Australia,
132,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Envirocrete 40% EPD,0.376,m3,Australia,
133,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Envirocrete Plus EPD,0.365,m3,Australia,
134,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral ENVISIA EPD,0.352,m3,Australia,
135,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Normal GP/GGBFS Blend EPD,0.344,m3,Australia,
136,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Boral Normal GP/GGBFS/FA Blend EPD,0.406,m3,Australia,
137,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim General Blend EPD,0.542,m3,Australia,
138,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim FlyAsh Blend EPD,0.442,m3,Australia,
139,Basic Materials,Concrete,Concrete,50 Mpa Concrete,Holcim Slag Blend EPD,0.331,m3,Australia,
140,Basic Materials,Concrete,Concrete,50 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.498,m3,United States or  Canada,
141,Basic Materials,Concrete,Concrete,60 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.535,m3,United States or  Canada,
142,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 100% Geopolymer Replacement,0.124,m3,Australia,
143,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 100% Geopolymer Replacement,0.125,m3,Europe,
144,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 100% Geopolymer Replacement,0.125,m3,United Kingdom,
145,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 100% Geopolymer Replacement,0.147,m3,United States or  Canada,
146,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 50% GGBFS,0.427,m3,United States or  Canada,
147,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 50% Fly Ash,0.378,m3,Australia,
148,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 50% Fly Ash,0.295,m3,Europe,
149,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 50% Fly Ash,0.326,m3,United Kingdom,
150,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 20% GGBFS,0.575,m3,Australia,
151,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 20% GGBFS,0.487,m3,United Kingdom,
152,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 20% GGBFS,0.581,m3,United States or  Canada,
153,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 50% GGBFS,0.363,m3,Australia,
154,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With up to 50% GGBFS,0.346,m3,United Kingdom,
155,Basic Materials,Concrete,Concrete,60 Mpa Concrete,Generic OPC,0.692,m3,Australia,
156,Basic Materials,Concrete,Concrete,60 Mpa Concrete,Generic OPC,0.524,m3,Europe,
157,Basic Materials,Concrete,Concrete,60 Mpa Concrete,Generic OPC,0.581,m3,United Kingdom,
158,Basic Materials,Concrete,Concrete,60 Mpa Concrete,Generic OPC,0.684,m3,United States or  Canada,
159,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 0-20% Fly Ash,0.566,m3,Australia,
160,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 0-20% Fly Ash,0.432,m3,Europe,
161,Basic Materials,Concrete,Concrete,60 Mpa Concrete,With 0-20% Fly Ash,0.479,m3,United Kingdom,
162,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 50% Fly Ash,0.408,m3,Australia,
163,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 50% Fly Ash,0.318,m3,Europe,
164,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 50% Fly Ash,0.351,m3,United Kingdom,
165,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 20% GGBFS,0.526,m3,United Kingdom,
166,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 20% GGBFS,0.627,m3,United States or  Canada,
167,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 50% GGBFS,0.433,m3,Australia,
168,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 50% GGBFS,0.373,m3,United Kingdom,
169,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 50% GGBFS,0.428,m3,United States or  Canada,
170,Basic Materials,Concrete,Concrete,80 Mpa Concrete,Generic OPC,0.75,m3,Australia,
171,Basic Materials,Concrete,Concrete,80 Mpa Concrete,Generic OPC,0.566,m3,Europe,
172,Basic Materials,Concrete,Concrete,80 Mpa Concrete,Generic OPC,0.629,m3,United Kingdom,
173,Basic Materials,Concrete,Concrete,80 Mpa Concrete,Generic OPC,0.739,m3,United States or  Canada,
174,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 0-20% Fly Ash,0.613,m3,Australia,
175,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 0-20% Fly Ash,0.467,m3,Europe,
176,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With 0-20% Fly Ash,0.517,m3,United Kingdom,
177,Basic Materials,Concrete,Concrete,80 Mpa Concrete,With up to 20% GGBFS,0.623,m3,Australia,
178,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Reclaimed 100%,0.046,T,United States or  Canada,1600
179,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Reclaimed 100%,0.033,T,Europe,1600
180,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Reclaimed 100%,0.033,T,United Kingdom,1600
181,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Reclaimed 100%,0.043,T,Australia,1600
182,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Virgin,0.036,T,Australia,1600
183,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Virgin,0.035,T,Europe,1600
184,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Virgin,0.035,T,United Kingdom,1600
185,Basic Materials,Aggregate,Aggregate,Aggregates,Coarse Aggregate - Virgin,0.048,T,United States or  Canada,1600
186,Basic Materials,Aggregate,Aggregate,Aggregates,Sand - Virgin,0.024,T,Australia,1600
187,Basic Materials,Aggregate,Aggregate,Aggregates,Sand - Virgin,0.035,T,Europe,1600
188,Basic Materials,Aggregate,Aggregate,Aggregates,Sand - Virgin,0.035,T,United Kingdom,1600
189,Basic Materials,Aggregate,Aggregate,Aggregates,Sand - Virgin,0.048,T,United States or  Canada,1600
190,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, 100% recycled",1.5,T,Australia,2750
191,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, 100% recycled",0.7,T,Europe,2750
192,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, 100% recycled",0.8,T,United Kingdom,2750
193,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, 100% recycled",0.5,T,United States or  Canada,2750
194,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, virgin",15,T,Australia,2750
195,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, virgin",7,T,Europe,2750
196,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, virgin",8,T,United Kingdom,2750
197,Basic Materials,Metals,Aluminium,Aluminium,"Per tonne, virgin",5,T,United States or  Canada,2750
198,Basic Materials,Insulation,Insulation,Aluminium Faced Foil Sarking,Recycled 100%,0.001,m2,Australia,
199,Basic Materials,Insulation,Insulation,Aluminium Faced Foil Sarking,Recycled 100%,0.0004,m2,United Kingdom,
200,Basic Materials,Insulation,Insulation,Aluminium Faced Foil Sarking,Virgin,0.005,m2,Australia,
201,Basic Materials,Insulation,Insulation,Aluminium Faced Foil Sarking,Virgin,0.002,m2,United Kingdom,
202,Basic Materials,Metals,Steel,Bar Reinforcement,Standard,2.9,T,Australia,7850
203,Basic Materials,Metals,Steel,Bar Reinforcement,Standard,1.168,T,Europe,7850
204,Basic Materials,Metals,Steel,Bar Reinforcement,Standard,2.34,T,United Kingdom,7850
205,Basic Materials,Metals,Steel,Bar Reinforcement,Standard,2.293,T,United States or  Canada,7850
206,Basic Materials,Metals,Steel,Bar Reinforcement,Carbon Neutral Bar Reinforcement,0,T,United States or  Canada,7850
207,Basic Materials,Metals,Steel,Bar Reinforcement,"Fabricated Reinforcement, CLF 2021 (A1-A3)",0.98,T,United States or  Canada,7850
208,Basic Materials,Metals,Steel,Bar Reinforcement,Carbon Neutral Bar Reinforcement,0,T,Australia,7850
209,Basic Materials,Metals,Steel,Bar Reinforcement,Over 65% Recycled Content,1.733,T,Australia,7850
210,Basic Materials,Metals,Steel,Bar Reinforcement,Over 65% Recycled Content,0.699,T,Europe,7850
211,Basic Materials,Metals,Steel,Bar Reinforcement,Over 65% Recycled Content,1.399,T,United Kingdom,7850
212,Basic Materials,Metals,Steel,Bar Reinforcement,Over 65% Recycled Content,1.371,T,United States or  Canada,7850
213,Basic Materials,Metals,Steel,Bar Reinforcement,Up to 65% Recycled Content,2.34,T,Australia,7850
214,Basic Materials,Metals,Steel,Bar Reinforcement,Up to 65% Recycled Content,0.943,T,Europe,7850
215,Basic Materials,Metals,Steel,Bar Reinforcement,Up to 65% Recycled Content,1.889,T,United Kingdom,7850
216,Basic Materials,Metals,Steel,Bar Reinforcement,Up to 65% Recycled Content,1.85,T,United States or  Canada,7850
217,Basic Materials,Metals,Steel,Bar Reinforcement,Carbon Neutral Bar Reinforcement,0,T,Europe,7850
218,Basic Materials,Metals,Steel,Bar Reinforcement,Carbon Neutral Bar Reinforcement,0,T,United Kingdom,7850
219,Basic Materials,Brick & Blockwork,Other,Brick,Calcium Silicate (Sand-Lime),0.74,m3,Australia,
220,Basic Materials,Brick & Blockwork,Other,Brick,Calcium Silicate (Sand-Lime),0.27,m3,Europe,
221,Basic Materials,Brick & Blockwork,Other,Brick,Calcium Silicate (Sand-Lime),0.401,T,Australia,1920
222,Basic Materials,Brick & Blockwork,Other,Brick,Calcium Silicate (Sand-Lime),0.15,T,Europe,1920
223,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.305,T,United States or  Canada,1920
224,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.32,T,Australia,1920
225,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.277,T,Europe,1920
226,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.24,T,United Kingdom,1920
227,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.305,T,United States or  Canada,1920
228,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.32,T,Australia,1920
229,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.277,T,Europe,1920
230,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.24,T,United Kingdom,1920
231,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.608,m3,Australia,
232,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.526,m3,Europe,
233,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.456,m3,United Kingdom,
234,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Extruded,0.579,m3,United States or  Canada,
235,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.768,m3,Australia,
236,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.665,m3,Europe,
237,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.576,m3,United Kingdom,
238,Basic Materials,Brick & Blockwork,Clay Brick,Brick,Clay Pressed,0.732,m3,United States or  Canada,
239,Basic Materials,Other,Other,Cardboard,Virgin,2.7,T,Australia,689
240,Basic Materials,Cement,Cement Alternatives,Cement Blends,GGBS 50%,0.599,T,Australia,1440
241,Basic Materials,Cement,Cement Alternatives,Cement Blends,GGBS 50%,0.475,T,United Kingdom,1440
242,Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),1.15,T,Australia,1440
243,Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),0.835,T,Europe,1440
244,Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),0.939,T,United Kingdom,1440
245,Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),1.086,T,United States or  Canada,1440
246,Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,Australia,1440
247,Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,Europe,1440
